,agent,group,model,AS_fit,DB_fit,VS_fit,SG_fit
69600,0.0,145.0,VS,,,,
69615,1.0,145.0,DB,,,,
69630,2.0,145.0,AS,,,,
69645,3.0,145.0,DB,,,,
70080,0.0,146.0,AS,,,,
70095,1.0,146.0,DB,,,,
70110,2.0,146.0,AS,,,,
70125,3.0,146.0,VS,,,,
70560,0.0,147.0,SG,,,,
70575,1.0,147.0,VS,,,,
70590,2.0,147.0,DB,,,,
70605,3.0,147.0,VS,,,,
71040,0.0,148.0,VS,,,,
71055,1.0,148.0,DB,,,,
71070,2.0,148.0,VS,,,,
71085,3.0,148.0,AS,,,,
71520,0.0,149.0,DB,,,,
71535,1.0,149.0,SG,,,,
71550,2.0,149.0,VS,,,,
71565,3.0,149.0,AS,,,,
72000,0.0,150.0,VS,,,,
72015,1.0,150.0,DB,,,,
72030,2.0,150.0,DB,,,,
72045,3.0,150.0,AS,,,,
72480,0.0,151.0,AS,,,,
72495,1.0,151.0,SG,,,,
72510,2.0,151.0,DB,,,,
72525,3.0,151.0,DB,,,,
72960,0.0,152.0,VS,,,,
72975,1.0,152.0,AS,,,,
72990,2.0,152.0,SG,,,,
73005,3.0,152.0,SG,,,,
73440,0.0,153.0,AS,,,,
73455,1.0,153.0,SG,,,,
73470,2.0,153.0,DB,,,,
73485,3.0,153.0,VS,,,,
73920,0.0,154.0,DB,,,,
73935,1.0,154.0,VS,,,,
73950,2.0,154.0,VS,,,,
73965,3.0,154.0,SG,,,,
74400,0.0,155.0,AS,,,,
74415,1.0,155.0,AS,,,,
74430,2.0,155.0,DB,,,,
74445,3.0,155.0,VS,,,,
74880,0.0,156.0,AS,,,,
74895,1.0,156.0,AS,,,,
74910,2.0,156.0,VS,,,,
74925,3.0,156.0,AS,,,,
75360,0.0,157.0,SG,,,,
75375,1.0,157.0,SG,,,,
75390,2.0,157.0,SG,,,,
75405,3.0,157.0,SG,,,,
75840,0.0,158.0,SG,,,,
75855,1.0,158.0,VS,,,,
75870,2.0,158.0,AS,,,,
75885,3.0,158.0,VS,,,,
76320,0.0,159.0,AS,,,,
76335,1.0,159.0,VS,,,,
76350,2.0,159.0,AS,,,,
76365,3.0,159.0,DB,,,,
76800,0.0,160.0,SG,,,,
76815,1.0,160.0,SG,,,,
76830,2.0,160.0,AS,,,,
76845,3.0,160.0,DB,,,,
77280,0.0,161.0,VS,,,,
77295,1.0,161.0,AS,,,,
77310,2.0,161.0,SG,,,,
77325,3.0,161.0,VS,,,,
77760,0.0,162.0,VS,,,,
77775,1.0,162.0,DB,,,,
77790,2.0,162.0,AS,,,,
77805,3.0,162.0,AS,,,,
78240,0.0,163.0,SG,,,,
78255,1.0,163.0,DB,,,,
78270,2.0,163.0,VS,,,,
78285,3.0,163.0,DB,,,,
78720,0.0,164.0,AS,,,,
78735,1.0,164.0,DB,,,,
78750,2.0,164.0,AS,,,,
78765,3.0,164.0,VS,,,,
79200,0.0,165.0,AS,,,,
79215,1.0,165.0,DB,,,,
79230,2.0,165.0,DB,,,,
79245,3.0,165.0,VS,,,,
79680,0.0,166.0,SG,,,,
79695,1.0,166.0,SG,,,,
79710,2.0,166.0,SG,,,,
79725,3.0,166.0,DB,,,,
80160,0.0,167.0,SG,,,,
80175,1.0,167.0,SG,,,,
80190,2.0,167.0,AS,,,,
80205,3.0,167.0,SG,,,,
80640,0.0,168.0,SG,,,,
80655,1.0,168.0,DB,,,,
80670,2.0,168.0,VS,,,,
80685,3.0,168.0,VS,,,,
81120,0.0,169.0,SG,,,,
81135,1.0,169.0,SG,,,,
81150,2.0,169.0,SG,,,,
81165,3.0,169.0,VS,,,,
81600,0.0,170.0,VS,,,,
81615,1.0,170.0,SG,,,,
81630,2.0,170.0,SG,,,,
81645,3.0,170.0,VS,,,,
82080,0.0,171.0,SG,,,,
82095,1.0,171.0,DB,,,,
82110,2.0,171.0,DB,,,,
82125,3.0,171.0,AS,,,,
82560,0.0,172.0,DB,,,,
82575,1.0,172.0,AS,,,,
82590,2.0,172.0,AS,,,,
82605,3.0,172.0,SG,,,,
83040,0.0,173.0,AS,,,,
83055,1.0,173.0,SG,,,,
83070,2.0,173.0,SG,,,,
83085,3.0,173.0,AS,,,,
83520,0.0,174.0,AS,,,,
83535,1.0,174.0,SG,,,,
83550,2.0,174.0,AS,,,,
83565,3.0,174.0,DB,,,,
84000,0.0,175.0,DB,,,,
