"","X","group","agent","trial","round","scaling","choice","isRandom","reward","payoff","rescaled","env","search_dist","soc_sd1","soc_sd2","soc_sd3","soc_sd","soc_rew1","soc_rew2","soc_rew3","soc_rew","prev_rew","RT_server","soc_choice1","soc_choice2","soc_choice3"
"338",338,6,1,7,6,72,40,0,0.6265,64,51,19,5,5.09901951359278,3,5,4.36633983786426,1,0.775,0.6528,0.809266666666667,0.4933,3077,24,37,87
"339",339,6,1,8,6,72,38,0,0.5831,58,47,19,2,4.12310562561766,1.4142135623731,5,3.51243972933025,0.8236,0.6856,0.6742,0.7278,0.6265,3285,23,26,85
"340",340,6,1,9,6,72,29,0,0.5909,60,48,19,2.23606797749979,5.09901951359278,6.08276253029822,4,5.06059401463034,0.8161,0.5582,0.9785,0.784266666666667,0.5831,2585,35,34,25
"341",341,6,1,10,6,72,7,0,0.1743,18,18,19,2,5.09901951359278,4.12310562561766,5.3851648071345,4.86909664878165,0.8892,0.8679,0.7901,0.849066666666667,0.5909,2962,13,14,24
"342",342,6,1,11,6,72,53,0,0.643,62,50,19,4.47213595499958,6.70820393249937,8.06225774829855,5.3851648071345,6.71854216264414,0.8013,1,0.9298,0.910366666666666,0.1743,2815,14,2,26
"343",343,6,1,12,6,72,52,0,0.6315,64,51,19,1,7.61577310586391,8.06225774829855,4.12310562561766,6.60037882659337,0.7866,0.8304,0.8845,0.833833333333333,0.643,3069,12,1,37
"344",344,6,1,13,6,72,51,0,0.5996,58,47,19,1,6.08276253029822,6.40312423743285,4.12310562561766,5.53633079778291,0.6388,1,0.8545,0.8311,0.6315,3005,34,2,36
"345",345,6,1,14,6,72,42,0,0.6866,68,54,19,2.23606797749979,7.61577310586391,7.61577310586391,6.32455532033676,7.18536717735486,0.6414,1,1,0.880466666666667,0.5996,3611,2,2,14
"346",346,6,1,0,7,65,68,1,0.6031,61,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347",347,6,1,1,7,65,24,0,0.8171,82,58,0,4,5.09901951359278,8.60232526704263,4.47213595499958,6.05782691187833,0.439,0.3819,0.2925,0.371133333333333,0.6031,2436,18,86,50
"348",348,6,1,2,7,65,13,0,0.9305,95,67,0,1,7.61577310586391,4,7,6.20525770195464,0.3743,0.7768,0.5509,0.567333333333333,0.8171,5572,93,57,90
"349",349,6,1,3,7,65,12,0,0.9909,99,69,0,1,4.47213595499958,5.09901951359278,1.4142135623731,3.66178967698849,0.5666,0.741,0.6888,0.665466666666667,0.9305,4049,58,66,24
"350",350,6,1,4,7,65,11,0,0.8326,82,58,0,1,9.8488578017961,2.82842712474619,2,4.89242830884743,0.0744,0.7696,0.5946,0.479533333333333,0.9909,4291,64,35,13
"351",351,6,1,5,7,65,1,0,1,101,71,0,1.4142135623731,2.23606797749979,4,10.6301458127346,5.62207126341148,0.7963,0.863,0.0271,0.562133333333333,0.8326,3156,24,45,96
"352",352,6,1,6,7,65,2,0,0.9521,96,67,0,1,1.4142135623731,3.60555127546399,5,3.33992161261236,0.9219,0.834,0.7322,0.829366666666667,1,5278,12,33,57
"353",353,6,1,7,7,65,0,0,0.7635,74,53,0,2,1,2.23606797749979,4.12310562561766,2.45305786770582,0.8857,0.8687,0.8243,0.859566666666667,0.9521,4474,11,23,45
"354",354,6,1,8,7,65,3,0,0.6668,66,48,0,3,2.82842712474619,3,4.24264068711928,3.35702260395516,0.8231,0.9651,0.6178,0.802,0.7635,3128,23,0,33
"355",355,6,1,9,7,65,23,0,0.9144,90,64,0,2.82842712474619,1,1,2.23606797749979,1.4120226591666,0.8194,0.9312,0.7834,0.844666666666667,0.6668,2976,22,12,46
"356",356,6,1,10,7,65,22,0,0.8968,91,64,0,1,2,1,1.4142135623731,1.47140452079103,0.9259,1,0.7635,0.896466666666667,0.9144,4285,0,11,34
"357",357,6,1,11,7,65,34,0,0.8231,82,58,0,1.4142135623731,3,1.4142135623731,2,2.1380711874577,1,0.9252,0.828,0.917733333333333,0.8968,4258,1,22,56
"358",358,6,1,12,7,65,14,0,0.7172,70,51,0,2.82842712474619,1.4142135623731,2.23606797749979,5.8309518948453,3.16041114490606,0.9722,0.9018,0.8744,0.916133333333333,0.8231,3602,2,1,66
"359",359,6,1,13,7,65,25,0,0.6801,67,49,0,1,2,3.16227766016838,4.47213595499958,3.21147120505599,0.8556,1,0.8112,0.888933333333333,0.7172,3363,3,11,67
"360",360,6,1,14,7,65,35,0,0.6978,69,50,0,1.4142135623731,2,2.82842712474619,4.47213595499958,3.10018769324859,0.9052,1,0.9645,0.956566666666667,0.6801,3021,13,11,77
"961",961,16,1,0,0,66,117,1,0.3695,37,29,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"962",962,16,1,1,0,66,117,0,0.3695,37,29,20,0,5.8309518948453,5,2.82842712474619,4.55312633986383,0,0.299,0.2014,0.1668,0.3695,6218,65,70,97
"963",963,16,1,2,0,66,117,0,0.3695,37,29,20,0,3.16227766016838,7,4.47213595499958,4.87813787172265,0.3679,0.5331,0.142,0.347666666666667,0.3695,12482,103,40,71
"964",964,16,1,3,0,66,117,0,0.3695,38,30,20,0,9.05538513813742,7.07106781186548,5,7.0421509833343,0.4702,0.375,0.0074,0.2842,0.3695,4952,17,39,62
"965",965,16,1,4,0,66,117,0,0.3695,37,29,20,0,8.24621125123532,6,5.3851648071345,6.54379201945661,0.5131,0.4316,0.2005,0.381733333333333,0.3695,11086,27,51,60
"966",966,16,1,5,0,66,74,0,0.1953,21,19,20,4.12310562561766,4.24264068711928,4.12310562561766,2.23606797749979,3.53393809674558,0.387,0.6967,0.0471,0.376933333333333,0.3695,4598,38,29,61
"967",967,16,1,6,0,66,107,0,0.1475,16,16,20,3,8.06225774829855,7,5.8309518948453,6.96440321438128,0.5881,0.7583,0.2991,0.5485,0.1953,3164,26,30,49
"968",968,16,1,7,0,66,116,0,0.3812,39,31,20,2.23606797749979,8.54400374531753,9.21954445729289,5.3851648071345,7.71623766991497,0.6366,0.876,0.4725,0.6617,0.1475,5586,25,19,59
"969",969,16,1,8,0,66,115,0,0.4134,41,32,20,1,8.54400374531753,9.8488578017961,5.3851648071345,7.92600878474938,0.6887,0.8081,0.7703,0.7557,0.3812,5752,24,20,58
"970",970,16,1,9,0,66,114,0,0.5149,50,38,20,1,8.54400374531753,9.48683298050514,4,7.34361224194089,0.7532,0.8513,0.4226,0.6757,0.4134,5360,23,18,70
"971",971,16,1,10,0,66,113,0,0.627,65,48,20,1,8.54400374531753,11.1803398874989,5.09901951359278,8.27445438213642,0.7986,0.9846,0.9412,0.908133333333333,0.5149,3383,22,8,57
"972",972,16,1,11,0,66,102,0,0.4938,50,38,20,1,8.24621125123532,9.8488578017961,4.47213595499958,7.52240166934367,0.7118,0.9169,0.9071,0.845266666666667,0.627,2933,12,7,56
"973",973,16,1,12,0,66,112,0,0.7078,71,52,20,1.4142135623731,7.28010988928052,12.2065556157337,6.08276253029822,8.52314267843748,0.8598,0.9276,0.7742,0.853866666666667,0.4938,2983,33,9,45
"974",974,16,1,13,0,66,111,0,0.8064,79,57,20,1,7,12.2065556157337,4.12310562561766,7.77655374711712,0.9042,0.9846,0.9621,0.9503,0.7078,3373,34,8,68
"975",975,16,1,14,0,66,110,0,0.8967,90,64,20,1,6.08276253029822,12.8062484748657,4.12310562561766,7.67070554359386,1,0.9846,0.9873,0.990633333333333,0.8064,3621,45,8,67
"976",976,16,1,0,1,73,92,1,0.5558,55,45,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"977",977,16,1,1,1,73,81,0,0.4972,52,43,13,1,3.16227766016838,5.8309518948453,6.40312423743285,5.13211793081551,0,0.9898,0.3737,0.4545,0.5558,1855,95,53,22
"978",978,16,1,2,1,73,91,0,0.4595,46,39,13,1.4142135623731,7.21110255092798,7.81024967590665,6.08276253029822,7.03470491904428,0.8252,0.9854,0.631,0.813866666666667,0.4972,5528,29,42,24
"979",979,16,1,3,1,73,82,0,0.4589,45,38,13,2.23606797749979,5.8309518948453,6.40312423743285,5,5.74469204409272,0.8372,0.9715,0.4894,0.766033333333333,0.4595,3994,30,31,35
"980",980,16,1,4,1,73,93,0,0.4902,47,39,13,1,5.8309518948453,6.70820393249937,6.32455532033676,6.28790371589381,0.9395,0.8932,0.5645,0.799066666666667,0.4589,2728,41,30,25
