"","X","group","agent","trial","round","scaling","isRandom","reward","payoff","rescaled","env","soc_sd","soc_rew","prev_rew","RT_server","soc_choice","social"
"1144",1144,6,1,0,3,72,1,0.8477,85,66,2,NA,NA,NA,NA,NA,1
"1145",1145,6,1,1,3,72,0,0.7884,79,62,2,1,0.8477,0.8477,2376,73,0
"1146",1146,6,1,1,3,72,0,0.7884,79,62,2,0,0.5901,0.8477,2376,73,1
"1147",1147,6,1,1,3,72,0,0.7884,79,62,2,4,0.2032,0.8477,2376,117,1
"1148",1148,6,1,1,3,72,0,0.7884,79,62,2,2.23606797749979,0.5992,0.8477,2376,64,1
"1149",1149,6,1,2,3,72,0,0.7081,72,57,2,2,0.7884,0.7884,5779,71,0
"1150",1150,6,1,2,3,72,0,0.7081,72,57,2,3.60555127546399,0.7701,0.7884,5779,36,1
"1151",1151,6,1,2,3,72,0,0.7081,72,57,2,1.4142135623731,0.7251,0.7884,5779,59,1
"1152",1152,6,1,2,3,72,0,0.7081,72,57,2,1.4142135623731,0.6271,0.7884,5779,61,1
"1153",1153,6,1,3,3,72,0,0.9669,96,74,2,1.4142135623731,0.7081,0.7081,6805,61,0
"1154",1154,6,1,3,3,72,0,0.9669,96,74,2,4.47213595499958,0.6153,0.7081,6805,35,1
"1155",1155,6,1,3,3,72,0,0.9669,96,74,2,1,0.8451,0.7081,6805,60,1
"1156",1156,6,1,3,3,72,0,0.9669,96,74,2,2,0.526,0.7081,6805,59,1
"1157",1157,6,1,4,3,72,0,0.9682,97,75,2,1,0.9669,0.9669,3651,50,0
"1158",1158,6,1,4,3,72,0,0.9682,97,75,2,2.23606797749979,0.9287,0.9669,3651,37,1
"1159",1159,6,1,4,3,72,0,0.9682,97,75,2,2.23606797749979,0.8104,0.9669,3651,71,1
"1160",1160,6,1,4,3,72,0,0.9682,97,75,2,1,1,0.9669,3651,39,1
"1161",1161,6,1,5,3,72,0,0.8801,89,69,2,1,0.9682,0.9682,3123,39,0
"1162",1162,6,1,5,3,72,0,0.8801,89,69,2,1,0.9588,0.9682,3123,38,1
"1163",1163,6,1,5,3,72,0,0.8801,89,69,2,2,0.957,0.9682,3123,61,1
"1164",1164,6,1,5,3,72,0,0.8801,89,69,2,1,0.9514,0.9682,3123,28,1
"1165",1165,6,1,6,3,72,0,0.8073,80,63,2,1,0.8801,0.8801,3982,28,0
"1166",1166,6,1,6,3,72,0,0.8073,80,63,2,1,0.8657,0.8801,3982,27,1
"1167",1167,6,1,6,3,72,0,0.8073,80,63,2,3.16227766016838,0.9421,0.8801,3982,62,1
"1168",1168,6,1,6,3,72,0,0.8073,80,63,2,1.4142135623731,0.9774,0.8801,3982,40,1
"1169",1169,6,1,7,3,72,0,0.7308,72,57,2,1,0.8073,0.8073,3562,17,0
"1170",1170,6,1,7,3,72,0,0.7308,72,57,2,3.16227766016838,1,0.8073,3562,49,1
"1171",1171,6,1,7,3,72,0,0.7308,72,57,2,5,0.8521,0.8073,3562,72,1
"1172",1172,6,1,7,3,72,0,0.7308,72,57,2,2.23606797749979,0.9128,0.8073,3562,38,1
"1173",1173,6,1,8,3,72,0,0.8625,87,68,2,4.12310562561766,0.7308,0.7308,3474,62,0
"1174",1174,6,1,8,3,72,0,0.8625,87,68,2,2,0.9102,0.7308,3474,60,1
"1175",1175,6,1,8,3,72,0,0.8625,87,68,2,1,0.957,0.7308,3474,61,1
"1176",1176,6,1,8,3,72,0,0.8625,87,68,2,3,0.9093,0.7308,3474,29,1
"1177",1177,6,1,9,3,72,0,0.8826,88,68,2,2,0.8625,0.8625,3212,60,0
"1178",1178,6,1,9,3,72,0,0.8826,88,68,2,1.4142135623731,0.909,0.8625,3212,50,1
"1179",1179,6,1,9,3,72,0,0.8826,88,68,2,1,0.957,0.8625,3212,61,1
"1180",1180,6,1,9,3,72,0,0.8826,88,68,2,3,0.8861,0.8625,3212,27,1
"1181",1181,6,1,10,3,72,0,0.9896,98,76,2,1,0.8826,0.8826,5054,49,0
"1182",1182,6,1,10,3,72,0,0.9896,98,76,2,1.4142135623731,0.8863,0.8826,5054,39,1
"1183",1183,6,1,10,3,72,0,0.9896,98,76,2,1.4142135623731,0.957,0.8826,5054,61,1
"1184",1184,6,1,10,3,72,0,0.9896,98,76,2,2,0.891,0.8826,5054,51,1
"1185",1185,6,1,11,3,72,0,0.8263,83,65,2,2,0.9896,0.9896,3012,51,0
"1186",1186,6,1,11,3,72,0,0.8263,83,65,2,3,0.9999,0.9896,3012,48,1
"1187",1187,6,1,11,3,72,0,0.8263,83,65,2,1.4142135623731,0.957,0.9896,3012,61,1
"1188",1188,6,1,11,3,72,0,0.8263,83,65,2,1,0.8835,0.9896,3012,50,1
"1189",1189,6,1,12,3,72,0,0.9219,92,71,2,3,0.8263,0.8263,4251,48,0
"1190",1190,6,1,12,3,72,0,0.9219,92,71,2,1,0.9662,0.8263,4251,59,1
"1191",1191,6,1,12,3,72,0,0.9219,92,71,2,2.23606797749979,0.957,0.8263,4251,61,1
"1192",1192,6,1,12,3,72,0,0.9219,92,71,2,4.12310562561766,0.835,0.8263,4251,41,1
"1193",1193,6,1,13,3,72,0,0.9737,98,76,2,1.4142135623731,0.9219,0.9219,3269,38,0
"1194",1194,6,1,13,3,72,0,0.9737,98,76,2,2.82842712474619,0.8939,0.9219,3269,58,1
"1195",1195,6,1,13,3,72,0,0.9737,98,76,2,1.4142135623731,0.8522,0.9219,3269,50,1
"1196",1196,6,1,13,3,72,0,0.9737,98,76,2,1.4142135623731,0.7458,0.9219,3269,26,1
"1197",1197,6,1,14,3,72,0,0.9926,99,76,2,1,0.9737,0.9737,3585,37,0
"1198",1198,6,1,14,3,72,0,0.9926,99,76,2,2.23606797749979,0.8023,0.9737,3585,28,1
"1199",1199,6,1,14,3,72,0,0.9926,99,76,2,2.82842712474619,0.957,0.9737,3585,61,1
"1200",1200,6,1,14,3,72,0,0.9926,99,76,2,0,0.7621,0.9737,3585,37,1
"1201",1201,6,1,0,4,71,1,0.7785,80,62,20,NA,NA,NA,NA,22,0
"1202",1202,6,1,0,4,71,1,0.7785,80,62,20,NA,NA,NA,NA,NA,1
"1203",1203,6,1,0,4,71,1,0.7785,80,62,20,NA,NA,NA,NA,NA,1
"1204",1204,6,1,0,4,71,1,0.7785,80,62,20,NA,NA,NA,NA,NA,1
"1205",1205,6,1,1,4,71,0,0.702,68,53,20,1,0.7785,0.7785,18773,23,0
"1206",1206,6,1,1,4,71,0,0.702,68,53,20,1.4142135623731,0.8067,0.7785,18773,11,1
"1207",1207,6,1,1,4,71,0,0.702,68,53,20,3.16227766016838,0.3859,0.7785,18773,37,1
"1208",1208,6,1,1,4,71,0,0.702,68,53,20,6.08276253029822,0.8013,0.7785,18773,88,1
"1209",1209,6,1,2,4,71,0,0.8636,86,66,20,1.4142135623731,0.702,0.702,4187,33,0
"1210",1210,6,1,2,4,71,0,0.8636,86,66,20,2.23606797749979,0.7118,0.702,4187,12,1
"1211",1211,6,1,2,4,71,0,0.8636,86,66,20,6.70820393249937,0.2315,0.702,4187,72,1
"1212",1212,6,1,2,4,71,0,0.8636,86,66,20,3,0.7955,0.702,4187,66,1
"1213",1213,6,1,3,4,71,0,0.8845,89,68,20,1,0.8636,0.8636,5894,44,0
"1214",1214,6,1,3,4,71,0,0.8845,89,68,20,2,0.7986,0.8636,5894,22,1
"1215",1215,6,1,3,4,71,0,0.8845,89,68,20,2.82842712474619,0.5143,0.8636,5894,24,1
"1216",1216,6,1,3,4,71,0,0.8845,89,68,20,0,0.5819,0.8636,5894,44,1
"1217",1217,6,1,4,4,71,0,0.7856,78,60,20,1,0.8845,0.8845,3162,55,0
"1218",1218,6,1,4,4,71,0,0.7856,78,60,20,2,0.8598,0.8845,3162,33,1
